rank,name,symbol,price
1,Bitcoin,BTC,63207
2,Ethereum,ETH,1823.62
3,Tether,USDT,0.999702
4,XRP,XRP,1.33
5,BNB,BNB,588.66
6,USDC,USDC,0.999896
7,Solana,SOL,76.55
8,TRON,TRX,0.280456
9,Figure Heloc,FIGR_HELOC,1.031
10,Dogecoin,DOGE,0.09103
11,WhiteBIT Coin,WBT,47.43
12,USDS,USDS,0.999951
13,Bitcoin Cash,BCH,483.11
14,Cardano,ADA,0.256958
15,LEO Token,LEO,7.93
16,Hyperliquid,HYPE,26.5
17,Canton,CC,0.161173
18,Ethena USDe,USDE,0.999221
19,Monero,XMR,317.76
20,Chainlink,LINK,8.15
21,Stellar,XLM,0.149292
22,USD1,USD1,0.999237
23,Rain,RAIN,0.00924983
24,Dai,DAI,0.999475
25,PayPal USD,PYUSD,1.0
26,Hedera,HBAR,0.092929
27,Litecoin,LTC,50.86
28,Zcash,ZEC,232.38
29,Avalanche,AVAX,8.28
30,Shiba Inu,SHIB,5.92e-06
31,Sui,SUI,0.857794
32,Toncoin,TON,1.32
33,Cronos,CRO,0.074102
34,World Liberty Financial,WLFI,0.107018
35,Tether Gold,XAUT,5150.69
36,MemeCore,M,1.41
37,PAX Gold,PAXG,5189.97
38,Uniswap,UNI,3.32
39,Polkadot,DOT,1.24
40,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
41,Mantle,MNT,0.582469
42,Falcon USD,USDF,0.99703
43,Aave,AAVE,112.82
44,Aster,ASTER,0.692227
45,Global Dollar,USDG,0.999869
46,Pepe,PEPE,3.9e-06
47,Bittensor,TAO,165.71
48,Circle USYC,USYC,1.12
49,Ripple USD,RLUSD,0.999956
50,Bitget Token,BGB,2.2
51,OKB,OKB,73.12
52,HTX DAO,HTX,1.64e-06
53,Pi Network,PI,0.161519
54,Sky,SKY,0.063263
55,BFUSD,BFUSD,0.999201
56,Ethereum Classic,ETC,8.16
57,NEAR Protocol,NEAR,0.974662
58,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.0
59,Ondo,ONDO,0.243885
60,Gate,GT,6.67
61,Internet Computer,ICP,2.05
62,POL (ex-MATIC),POL,0.105398
63,KuCoin,KCS,8.18
64,Worldcoin,WLD,0.366949
65,Pump.fun,PUMP,0.00175221
66,Cosmos Hub,ATOM,2.04
67,Provenance Blockchain,HASH,0.01750871
68,Midnight,NIGHT,0.057847
69,Quant,QNT,62.96
70,USDtb,USDTB,0.999901
71,NEXO,NEXO,0.813388
72,Spiko EU T-Bills Money Market Fund,EUTBL,1.23
73,pippin,PIPPIN,0.789449
74,Kaspa,KAS,0.02938
75,Ethena,ENA,0.094555
76,Flare,FLR,0.00895195
77,Official Trump,TRUMP,3.25
78,Algorand,ALGO,0.083062
79,USDD,USDD,0.999535
80,OUSG,OUSG,114.39
81,Janus Henderson Anemoy AAA CLO Fund,JAAA,1.027
82,Ondo US Dollar Yield,USDY,1.11
83,Render,RENDER,1.34
84,XDC Network,XDC,0.0335821
85,Filecoin,FIL,0.874597
86,Aptos,APT,0.806064
87,VeChain,VET,0.00713879
88,Beldex,BDX,0.080103
89,Janus Henderson Anemoy Treasury Fund,JTRSY,1.095
90,Usual USD,USD0,0.996988
91,Morpho,MORPHO,1.56
92,Arbitrum,ARB,0.090988
93,GHO,GHO,0.999646
94,​​Stable,STABLE,0.029146
95,A7A5,A7A5,0.01299027
96,Bonk,BONK,5.76e-06
97,TrueUSD,TUSD,0.998898
98,Fasttoken,FTN,1.088
99,Decred,DCR,26.95
100,USDai,USDAI,0.999655
