rank,name,symbol,price
1,Bitcoin,BTC,83066
2,Ethereum,ETH,2652.12
3,Tether,USDT,0.998515
4,BNB,BNB,839.1
5,XRP,XRP,1.7
6,USDC,USDC,0.999613
7,Solana,SOL,115.86
8,TRON,TRX,0.290698
9,Lido Staked Ether,STETH,2651.25
10,Dogecoin,DOGE,0.111981
11,Figure Heloc,FIGR_HELOC,1.021
12,Cardano,ADA,0.310946
13,Wrapped stETH,WSTETH,3247.5
14,WhiteBIT Coin,WBT,51.36
15,Bitcoin Cash,BCH,537.51
16,Wrapped Bitcoin,WBTC,82943
17,Wrapped Beacon ETH,WBETH,2888.29
18,USDS,USDS,0.999536
19,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.998406
20,Monero,XMR,485.13
21,Wrapped eETH,WEETH,2880.73
22,LEO Token,LEO,9.22
23,Chainlink,LINK,10.51
24,Hyperliquid,HYPE,30.35
25,Canton,CC,0.186925
26,Coinbase Wrapped BTC,CBBTC,82999
27,Ethena USDe,USDE,0.999361
28,Stellar,XLM,0.185632
29,WETH,WETH,2650.04
30,Zcash,ZEC,325.75
31,USD1,USD1,0.999325
32,Litecoin,LTC,63.18
33,Sui,SUI,1.22
34,Avalanche,AVAX,10.58
35,USDT0,USDT0,0.999032
36,Dai,DAI,0.999977
37,sUSDS,SUSDS,1.095
38,Shiba Inu,SHIB,7.05e-06
39,Hedera,HBAR,0.09564
40,World Liberty Financial,WLFI,0.146832
41,Ethena Staked USDe,SUSDE,1.22
42,PayPal USD,PYUSD,0.999029
43,Tether Gold,XAUT,4902.86
44,Toncoin,TON,1.42
45,Cronos,CRO,0.082165
46,Rain,RAIN,0.00917669
47,Polkadot,DOT,1.64
48,Uniswap,UNI,4.17
49,Mantle,MNT,0.760559
50,MemeCore,M,1.4
51,Bitget Token,BGB,3.41
52,Falcon USD,USDF,0.993037
53,PAX Gold,PAXG,4951.94
54,OKB,OKB,98.41
55,Aave,AAVE,134.28
56,Bittensor,TAO,210.45
57,Pepe,PEPE,4.43e-06
58,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
59,Jupiter Perpetuals Liquidity Provider Token,JLP,4.37
60,NEAR Protocol,NEAR,1.29
61,Circle USYC,USYC,1.11
62,Jito Staked SOL,JITOSOL,145.59
63,HTX DAO,HTX,1.76e-06
64,Binance-Peg WETH,WETH,2644.84
65,Internet Computer,ICP,2.92
66,Pump.fun,PUMP,0.00272024
67,Kelp DAO Restaked ETH,RSETH,2827.01
68,Ethereum Classic,ETC,10.3
69,Global Dollar,USDG,0.999698
70,Wrapped SOL,SOL,115.8
71,syrupUSDC,SYRUPUSDC,1.15
72,Sky,SKY,0.064161
73,Ondo,ONDO,0.301787
74,Pi Network,PI,0.168734
75,Aster,ASTER,0.583595
76,Provenance Blockchain,HASH,0.02526816
77,Ripple USD,RLUSD,0.999866
78,BFUSD,BFUSD,0.997832
79,KuCoin,KCS,9.97
80,Wrapped BNB,WBNB,838.77
81,Binance Bridged USDC (BNB Smart Chain),USDC,0.999613
82,Binance Staked SOL,BNSOL,127.21
83,Worldcoin,WLD,0.44571
84,Ethena,ENA,0.147462
85,POL (ex-MATIC),POL,0.108989
86,Gate,GT,9.23
87,USDD,USDD,0.998246
88,Rocket Pool ETH,RETH,3064.64
89,Aptos,APT,1.4
90,Cosmos Hub,ATOM,2.05
91,Quant,QNT,68.62
92,MYX Finance,MYX,5.22
93,Official Trump,TRUMP,4.42
94,Algorand,ALGO,0.109055
95,Kaspa,KAS,0.03575288
96,Lombard Staked BTC,LBTC,83106
97,Function FBTC,FBTC,82743
98,NEXO,NEXO,0.880367
99,Arbitrum,ARB,0.150974
100,USDtb,USDTB,0.999066
