rank,name,symbol,price
1,Bitcoin,BTC,87609
2,Ethereum,ETH,2887.17
3,Tether,USDT,0.998906
4,BNB,BNB,868.93
5,XRP,XRP,1.88
6,USDC,USDC,0.999703
7,Solana,SOL,122.0
8,TRON,TRX,0.295282
9,Lido Staked Ether,STETH,2887.66
10,Dogecoin,DOGE,0.120787
11,Figure Heloc,FIGR_HELOC,1.026
12,Cardano,ADA,0.345437
13,Wrapped stETH,WSTETH,3538.55
14,Bitcoin Cash,BCH,576.1
15,WhiteBIT Coin,WBT,53.57
16,Wrapped Bitcoin,WBTC,87450
17,Wrapped Beacon ETH,WBETH,3144.06
18,Wrapped eETH,WEETH,3137.54
19,USDS,USDS,0.999536
20,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.998906
21,Monero,XMR,463.74
22,LEO Token,LEO,9.1
23,Chainlink,LINK,11.78
24,Coinbase Wrapped BTC,CBBTC,87658
25,Stellar,XLM,0.206394
26,Ethena USDe,USDE,0.999164
27,WETH,WETH,2886.06
28,Zcash,ZEC,344.96
29,Canton,CC,0.148586
30,Sui,SUI,1.43
31,Hyperliquid,HYPE,22.06
32,Litecoin,LTC,67.98
33,Avalanche,AVAX,11.6
34,USD1,USD1,0.999333
35,USDT0,USDT0,0.999034
36,Shiba Inu,SHIB,7.65e-06
37,Hedera,HBAR,0.105278
38,World Liberty Financial,WLFI,0.161145
39,Dai,DAI,0.999704
40,sUSDS,SUSDS,1.082
41,Ethena Staked USDe,SUSDE,1.22
42,PayPal USD,PYUSD,0.999689
43,Toncoin,TON,1.52
44,Cronos,CRO,0.089873
45,Rain,RAIN,0.00958257
46,Polkadot,DOT,1.84
47,Uniswap,UNI,4.63
48,MemeCore,M,1.61
49,Mantle,MNT,0.853071
50,Tether Gold,XAUT,5098.62
51,Bitget Token,BGB,3.59
52,Aave,AAVE,150.97
53,Bittensor,TAO,230.06
54,Falcon USD,USDF,0.996298
55,OKB,OKB,102.12
56,PAX Gold,PAXG,5120.99
57,Pepe,PEPE,4.87e-06
58,NEAR Protocol,NEAR,1.45
59,Internet Computer,ICP,3.28
60,Jito Staked SOL,JITOSOL,153.25
61,Ethereum Classic,ETC,11.35
62,Binance-Peg WETH,WETH,2885.21
63,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
64,River,RIVER,85.63
65,HTX DAO,HTX,1.78e-06
66,Circle USYC,USYC,1.11
67,Global Dollar,USDG,0.99962
68,Ondo,ONDO,0.32723
69,Kelp DAO Restaked ETH,RSETH,3068.04
70,Wrapped SOL,SOL,122.22
71,Jupiter Perpetuals Liquidity Provider Token,JLP,4.51
72,Sky,SKY,0.065814
73,Aster,ASTER,0.612099
74,Pump.fun,PUMP,0.00249803
75,Pi Network,PI,0.173709
76,Ripple USD,RLUSD,0.999697
77,KuCoin,KCS,10.63
78,Binance Staked SOL,BNSOL,133.59
79,Ethena,ENA,0.165713
80,BFUSD,BFUSD,0.99827
81,Wrapped BNB,WBNB,869.19
82,syrupUSDC,SYRUPUSDC,1.15
83,Binance Bridged USDC (BNB Smart Chain),USDC,0.999668
84,POL (ex-MATIC),POL,0.121458
85,Worldcoin,WLD,0.452798
86,Provenance Blockchain,HASH,0.02298216
87,Rocket Pool ETH,RETH,3338.15
88,Aptos,APT,1.53
89,MYX Finance,MYX,5.89
90,Gate,GT,9.69
91,Quant,QNT,76.12
92,Cosmos Hub,ATOM,2.25
93,USDD,USDD,0.998826
94,Kaspa,KAS,0.04028015
95,Algorand,ALGO,0.118208
96,Render,RENDER,1.91
97,Arbitrum,ARB,0.170071
98,Function FBTC,FBTC,87693
99,Official Trump,TRUMP,4.82
100,Midnight,NIGHT,0.057968
