rank,name,symbol,price
1,Bitcoin,BTC,92506
2,Ethereum,ETH,3164.2
3,Tether,USDT,0.999433
4,XRP,XRP,2.14
5,BNB,BNB,898.07
6,Solana,SOL,135.19
7,USDC,USDC,0.999733
8,Lido Staked Ether,STETH,3161.09
9,TRON,TRX,0.292071
10,Dogecoin,DOGE,0.148845
11,Figure Heloc,FIGR_HELOC,1.019
12,Cardano,ADA,0.397874
13,Bitcoin Cash,BCH,661.9
14,Wrapped stETH,WSTETH,3868.63
15,WhiteBIT Coin,WBT,57.99
16,Wrapped Beacon ETH,WBETH,3436.7
17,Wrapped Bitcoin,WBTC,92282
18,Wrapped eETH,WEETH,3430.16
19,USDS,USDS,0.999691
20,Chainlink,LINK,13.5
21,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.999296
22,LEO Token,LEO,9.0
23,WETH,WETH,3161.34
24,Zcash,ZEC,489.92
25,Monero,XMR,427.86
26,Stellar,XLM,0.232629
27,Coinbase Wrapped BTC,CBBTC,92439
28,Sui,SUI,1.68
29,Hyperliquid,HYPE,26.53
30,Ethena USDe,USDE,0.998935
31,Litecoin,LTC,81.97
32,Avalanche,AVAX,14.19
33,Hedera,HBAR,0.126504
34,Canton,CC,0.142476
35,Shiba Inu,SHIB,8.67e-06
36,World Liberty Financial,WLFI,0.174063
37,sUSDS,SUSDS,1.081
38,Toncoin,TON,1.86
39,USDT0,USDT0,0.999099
40,Dai,DAI,0.999374
41,Cronos,CRO,0.104815
42,Uniswap,UNI,5.85
43,PayPal USD,PYUSD,0.999848
44,Polkadot,DOT,2.12
45,Ethena Staked USDe,SUSDE,1.21
46,Mantle,MNT,1.057
47,USD1,USD1,1.001
48,Pepe,PEPE,6.71e-06
49,Rain,RAIN,0.00807434
50,MemeCore,M,1.57
51,Bittensor,TAO,262.14
52,Bitget Token,BGB,3.57
53,Aave,AAVE,163.41
54,OKB,OKB,113.79
55,Tether Gold,XAUT,4433.51
56,NEAR Protocol,NEAR,1.72
57,Falcon USD,USDF,0.996311
58,Ethereum Classic,ETC,12.85
59,Ethena,ENA,0.248934
60,Jito Staked SOL,JITOSOL,169.37
61,Binance-Peg WETH,WETH,3162.5
62,Aster,ASTER,0.757415
63,Pi Network,PI,0.212111
64,Internet Computer,ICP,3.2
65,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
66,Wrapped SOL,SOL,135.39
67,PAX Gold,PAXG,4441.03
68,Worldcoin,WLD,0.592864
69,HTX DAO,HTX,1.68e-06
70,Jupiter Perpetuals Liquidity Provider Token,JLP,4.73
71,Global Dollar,USDG,0.999554
72,Circle USYC,USYC,1.11
73,KuCoin,KCS,11.2
74,Midnight,NIGHT,0.088086
75,Sky,SKY,0.062753
76,Binance Staked SOL,BNSOL,147.59
77,Aptos,APT,1.91
78,syrupUSDC,SYRUPUSDC,1.14
79,Provenance Blockchain,HASH,0.02642
80,Ondo,ONDO,0.437221
81,Kaspa,KAS,0.050377
82,Ripple USD,RLUSD,0.999501
83,Pump.fun,PUMP,0.00226072
84,BFUSD,BFUSD,0.999065
85,Rocket Pool ETH,RETH,3649.3
86,Wrapped BNB,WBNB,897.93
87,Binance Bridged USDC (BNB Smart Chain),USDC,0.999694
88,POL (ex-MATIC),POL,0.120031
89,Gate,GT,10.49
90,Arbitrum,ARB,0.212499
91,Algorand,ALGO,0.134894
92,Kelp DAO Restaked ETH,RSETH,3354.1
93,Quant,QNT,77.36
94,Cosmos Hub,ATOM,2.28
95,Official Trump,TRUMP,5.48
96,Filecoin,FIL,1.47
97,Render,RENDER,2.06
98,Bonk,BONK,1.172e-05
99,VeChain,VET,0.01191886
100,Janus Henderson Anemoy AAA CLO Fund,JAAA,1.021
