rank,name,symbol,price
1,Bitcoin,BTC,74183
2,Ethereum,ETH,2329.39
3,Tether,USDT,1.0
4,XRP,XRP,1.52
5,BNB,BNB,675.88
6,USDC,USDC,0.999904
7,Solana,SOL,94.26
8,TRON,TRX,0.302755
9,Figure Heloc,FIGR_HELOC,1.032
10,Dogecoin,DOGE,0.099817
11,WhiteBIT Coin,WBT,58.15
12,USDS,USDS,0.9998
13,Cardano,ADA,0.290688
14,Hyperliquid,HYPE,41.41
15,Bitcoin Cash,BCH,469.09
16,LEO Token,LEO,9.07
17,Chainlink,LINK,9.83
18,Monero,XMR,368.27
19,Ethena USDe,USDE,0.999997
20,Stellar,XLM,0.174925
21,Canton,CC,0.148993
22,Zcash,ZEC,281.38
23,USD1,USD1,0.999335
24,Litecoin,LTC,57.81
25,Avalanche,AVAX,10.25
26,Hedera,HBAR,0.0995
27,Dai,DAI,1.0
28,Rain,RAIN,0.00897197
29,PayPal USD,PYUSD,1.0
30,Sui,SUI,1.03
31,Shiba Inu,SHIB,6.07e-06
32,Cronos,CRO,0.078441
33,MemeCore,M,1.89
34,Toncoin,TON,1.34
35,World Liberty Financial,WLFI,0.101702
36,Tether Gold,XAUT,4959.76
37,Mantle,MNT,0.842912
38,Polkadot,DOT,1.63
39,Bittensor,TAO,278.72
40,PAX Gold,PAXG,4985.26
41,Uniswap,UNI,3.94
42,Circle USYC,USYC,1.12
43,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
44,OKB,OKB,94.66
45,NEAR Protocol,NEAR,1.45
46,Aave,AAVE,120.58
47,Aster,ASTER,0.729864
48,Global Dollar,USDG,0.999961
49,Falcon USD,USDF,0.998305
50,Sky,SKY,0.073543
51,Pi Network,PI,0.173687
52,Pepe,PEPE,3.67e-06
53,HTX DAO,HTX,1.68e-06
54,Ripple USD,RLUSD,1.0
55,Bitget Token,BGB,2.17
56,Internet Computer,ICP,2.71
57,Ethereum Classic,ETC,8.88
58,Ondo,ONDO,0.281111
59,BFUSD,BFUSD,0.999397
60,Ondo US Dollar Yield,USDY,1.12
61,Pump.fun,PUMP,0.00210483
62,Worldcoin,WLD,0.393091
63,Gate,GT,7.19
64,KuCoin,KCS,8.39
65,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.02
66,POL (ex-MATIC),POL,0.100358
67,Kaspa,KAS,0.03966026
68,Quant,QNT,71.65
69,Morpho,MORPHO,1.85
70,Cosmos Hub,ATOM,2.01
71,Spiko EU T-Bills Money Market Fund,EUTBL,1.21
72,Ethena,ENA,0.115245
73,Render,RENDER,1.81
74,NEXO,NEXO,0.922463
75,Official Trump,TRUMP,3.66
76,Algorand,ALGO,0.094486
77,USDtb,USDTB,0.999447
78,Midnight,NIGHT,0.04910039
79,Janus Henderson Anemoy Treasury Fund,JTRSY,1.097
80,Aptos,APT,1.011
81,Filecoin,FIL,0.977363
82,USDD,USDD,1.0
83,Flare,FLR,0.00866999
84,OUSG,OUSG,114.62
85,Provenance Blockchain,HASH,0.01234297
86,XDC Network,XDC,0.03398838
87,VeChain,VET,0.0075963
88,Arbitrum,ARB,0.107936
89,Siren,SIREN,0.868566
90,Beldex,BDX,0.080221
91,Jupiter,JUP,0.171433
92,Bonk,BONK,6.72e-06
93,GHO,GHO,0.999826
94,YLDS,YLDS,0.999926
95,​​Stable,STABLE,0.0270489
96,Usual USD,USD0,0.994172
97,Virtuals Protocol,VIRTUAL,0.784032
98,Artificial Superintelligence Alliance,FET,0.226669
99,JUST,JST,0.057064
100,Pudgy Penguins,PENGU,0.00796515
