rank,name,symbol,price
1,Bitcoin,BTC,71818
2,Ethereum,ETH,2084.79
3,Tether,USDT,0.999953
4,BNB,BNB,654.26
5,XRP,XRP,1.42
6,USDC,USDC,0.999961
7,Solana,SOL,90.91
8,TRON,TRX,0.284207
9,Figure Heloc,FIGR_HELOC,1.033
10,Dogecoin,DOGE,0.093217
11,WhiteBIT Coin,WBT,51.54
12,Cardano,ADA,0.273376
13,USDS,USDS,0.999899
14,Bitcoin Cash,BCH,461.72
15,LEO Token,LEO,9.2
16,Hyperliquid,HYPE,32.95
17,Chainlink,LINK,9.26
18,Monero,XMR,348.76
19,Ethena USDe,USDE,0.999749
20,Canton,CC,0.155463
21,Stellar,XLM,0.157068
22,USD1,USD1,0.999407
23,Rain,RAIN,0.00924031
24,Hedera,HBAR,0.101787
25,Litecoin,LTC,56.42
26,Dai,DAI,0.999675
27,PayPal USD,PYUSD,0.999984
28,Avalanche,AVAX,9.46
29,Zcash,ZEC,232.52
30,Sui,SUI,0.954087
31,Shiba Inu,SHIB,5.65e-06
32,Toncoin,TON,1.31
33,Cronos,CRO,0.077239
34,World Liberty Financial,WLFI,0.107808
35,Tether Gold,XAUT,5144.86
36,Polkadot,DOT,1.57
37,Uniswap,UNI,4.07
38,PAX Gold,PAXG,5193.52
39,MemeCore,M,1.4
40,Mantle,MNT,0.705439
41,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
42,Circle USYC,USYC,1.12
43,Bittensor,TAO,193.97
44,NEAR Protocol,NEAR,1.4
45,Global Dollar,USDG,0.999943
46,Aave,AAVE,115.56
47,Aster,ASTER,0.712809
48,Falcon USD,USDF,0.997251
49,Sky,SKY,0.073588
50,Pi Network,PI,0.175185
51,OKB,OKB,77.6
52,Ripple USD,RLUSD,1.0
53,Pepe,PEPE,3.58e-06
54,Bitget Token,BGB,2.15
55,HTX DAO,HTX,1.6e-06
56,Internet Computer,ICP,2.63
57,Ethereum Classic,ETC,8.78
58,Ondo,ONDO,0.272333
59,BFUSD,BFUSD,0.999099
60,Pump.fun,PUMP,0.0020562
61,Worldcoin,WLD,0.410936
62,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.01
63,Gate,GT,7.08
64,POL (ex-MATIC),POL,0.104109
65,Morpho,MORPHO,1.97
66,KuCoin,KCS,7.98
67,Midnight,NIGHT,0.061911
68,Ethena,ENA,0.119428
69,Cosmos Hub,ATOM,1.92
70,Quant,QNT,64.54
71,Ondo US Dollar Yield,USDY,1.11
72,NEXO,NEXO,0.887932
73,Provenance Blockchain,HASH,0.01542669
74,USDtb,USDTB,1.0
75,Kaspa,KAS,0.03110635
76,Official Trump,TRUMP,3.45
77,Aptos,APT,1.028
78,Flare,FLR,0.0094187
79,Spiko EU T-Bills Money Market Fund,EUTBL,1.22
80,Algorand,ALGO,0.089052
81,Filecoin,FIL,1.03
82,OUSG,OUSG,114.47
83,Janus Henderson Anemoy AAA CLO Fund,JAAA,1.028
84,Render,RENDER,1.42
85,XDC Network,XDC,0.03548927
86,USDD,USDD,1.0
87,Jupiter,JUP,0.189299
88,VeChain,VET,0.00744156
89,​​Stable,STABLE,0.03088383
90,Arbitrum,ARB,0.106008
91,Beldex,BDX,0.080194
92,YLDS,YLDS,1.0
93,Janus Henderson Anemoy Treasury Fund,JTRSY,1.096
94,Usual USD,USD0,0.999297
95,Bonk,BONK,6.24e-06
96,Decred,DCR,30.91
97,GHO,GHO,1.0
98,Virtuals Protocol,VIRTUAL,0.776449
99,A7A5,A7A5,0.01280858
100,TrueUSD,TUSD,0.999135
