rank,name,symbol,price
1,Bitcoin,BTC,70482
2,Ethereum,ETH,2052.95
3,Tether,USDT,1.0
4,BNB,BNB,639.95
5,XRP,XRP,1.39
6,USDC,USDC,0.999998
7,Solana,SOL,87.32
8,TRON,TRX,0.286557
9,Figure Heloc,FIGR_HELOC,1.035
10,Dogecoin,DOGE,0.092775
11,WhiteBIT Coin,WBT,56.39
12,USDS,USDS,0.999912
13,Cardano,ADA,0.266148
14,Bitcoin Cash,BCH,455.92
15,LEO Token,LEO,9.05
16,Hyperliquid,HYPE,30.38
17,Monero,XMR,357.07
18,Chainlink,LINK,9.09
19,Ethena USDe,USDE,0.999753
20,Canton,CC,0.155078
21,Stellar,XLM,0.156816
22,USD1,USD1,0.999699
23,Rain,RAIN,0.00921678
24,Hedera,HBAR,0.098902
25,Dai,DAI,1.0
26,Litecoin,LTC,55.12
27,PayPal USD,PYUSD,0.999493
28,Avalanche,AVAX,9.29
29,Zcash,ZEC,224.28
30,Sui,SUI,0.941589
31,Toncoin,TON,1.34
32,Shiba Inu,SHIB,5.53e-06
33,Cronos,CRO,0.077064
34,Tether Gold,XAUT,5063.7
35,World Liberty Financial,WLFI,0.101184
36,MemeCore,M,1.47
37,Polkadot,DOT,1.51
38,PAX Gold,PAXG,5104.53
39,Uniswap,UNI,3.95
40,Mantle,MNT,0.694634
41,OKB,OKB,96.82
42,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
43,Circle USYC,USYC,1.12
44,Pi Network,PI,0.199825
45,Aave,AAVE,115.95
46,Bittensor,TAO,183.32
47,Sky,SKY,0.075593
48,Falcon USD,USDF,0.997216
49,Aster,ASTER,0.699624
50,Global Dollar,USDG,1.0
51,NEAR Protocol,NEAR,1.26
52,Ripple USD,RLUSD,0.999699
53,Bitget Token,BGB,2.19
54,HTX DAO,HTX,1.61e-06
55,Pepe,PEPE,3.43e-06
56,Internet Computer,ICP,2.56
57,Ethereum Classic,ETC,8.56
58,BFUSD,BFUSD,0.999205
59,Ondo,ONDO,0.263326
60,Pump.fun,PUMP,0.00201112
61,Worldcoin,WLD,0.400153
62,Gate,GT,7.14
63,POL (ex-MATIC),POL,0.100574
64,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.01
65,KuCoin,KCS,7.95
66,Morpho,MORPHO,1.89
67,Midnight,NIGHT,0.060013
68,Quant,QNT,66.47
69,Ethena,ENA,0.113202
70,Ondo US Dollar Yield,USDY,1.1
71,Cosmos Hub,ATOM,1.83
72,NEXO,NEXO,0.886918
73,Spiko EU T-Bills Money Market Fund,EUTBL,1.21
74,USDtb,USDTB,1.001
75,Kaspa,KAS,0.03056266
76,Provenance Blockchain,HASH,0.01411233
77,Flare,FLR,0.00916312
78,Aptos,APT,0.996102
79,Algorand,ALGO,0.086405
80,Filecoin,FIL,1.002
81,OUSG,OUSG,114.49
82,Official Trump,TRUMP,3.21
83,Janus Henderson Anemoy AAA CLO Fund,JAAA,1.026
84,Render,RENDER,1.4
85,USDD,USDD,1.0
86,XDC Network,XDC,0.0338417
87,Jupiter,JUP,0.183299
88,VeChain,VET,0.00728414
89,Arbitrum,ARB,0.102783
90,Beldex,BDX,0.07991
91,YLDS,YLDS,0.999999
92,Janus Henderson Anemoy Treasury Fund,JTRSY,1.096
93,Kite,KITE,0.312904
94,Usual USD,USD0,0.999536
95,​​Stable,STABLE,0.0270234
96,GHO,GHO,1.0
97,Bonk,BONK,6.05e-06
98,Decred,DCR,30.04
99,A7A5,A7A5,0.01264879
100,TrueUSD,TUSD,0.999756
