rank,name,symbol,price
1,Bitcoin,BTC,73912
2,Ethereum,ETH,2314.55
3,Tether,USDT,1.0
4,XRP,XRP,1.51
5,BNB,BNB,672.74
6,USDC,USDC,0.999995
7,Solana,SOL,94.14
8,TRON,TRX,0.30148
9,Figure Heloc,FIGR_HELOC,1.027
10,Dogecoin,DOGE,0.100717
11,WhiteBIT Coin,WBT,58.13
12,USDS,USDS,1.0
13,Cardano,ADA,0.28639
14,Hyperliquid,HYPE,40.59
15,Bitcoin Cash,BCH,473.92
16,LEO Token,LEO,9.05
17,Chainlink,LINK,9.77
18,Monero,XMR,372.74
19,Canton,CC,0.155333
20,Ethena USDe,USDE,0.999802
21,Stellar,XLM,0.174887
22,USD1,USD1,0.999102
23,Zcash,ZEC,270.2
24,Litecoin,LTC,57.87
25,Avalanche,AVAX,10.27
26,Hedera,HBAR,0.09911
27,Dai,DAI,0.999894
28,Rain,RAIN,0.00883258
29,PayPal USD,PYUSD,0.999522
30,Sui,SUI,1.025
31,Shiba Inu,SHIB,6.1e-06
32,Cronos,CRO,0.080026
33,Toncoin,TON,1.34
34,MemeCore,M,1.72
35,World Liberty Financial,WLFI,0.103797
36,Tether Gold,XAUT,4974.38
37,Mantle,MNT,0.83742
38,Polkadot,DOT,1.61
39,Bittensor,TAO,279.31
40,Uniswap,UNI,4.01
41,PAX Gold,PAXG,5004.33
42,Circle USYC,USYC,1.12
43,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
44,OKB,OKB,95.14
45,NEAR Protocol,NEAR,1.45
46,Aave,AAVE,120.99
47,Aster,ASTER,0.731873
48,Sky,SKY,0.07666
49,Pi Network,PI,0.181972
50,Global Dollar,USDG,0.999845
51,Falcon USD,USDF,0.998667
52,Pepe,PEPE,3.78e-06
53,Ripple USD,RLUSD,1.0
54,Bitget Token,BGB,2.19
55,HTX DAO,HTX,1.65e-06
56,Internet Computer,ICP,2.72
57,Ethereum Classic,ETC,8.86
58,Ondo,ONDO,0.281914
59,BFUSD,BFUSD,0.999296
60,Ondo US Dollar Yield,USDY,1.12
61,Pump.fun,PUMP,0.00206483
62,Worldcoin,WLD,0.391904
63,Gate,GT,7.28
64,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.02
65,KuCoin,KCS,8.35
66,POL (ex-MATIC),POL,0.099801
67,Quant,QNT,69.09
68,Ethena,ENA,0.116648
69,Spiko EU T-Bills Money Market Fund,EUTBL,1.21
70,Render,RENDER,1.88
71,Cosmos Hub,ATOM,1.95
72,Morpho,MORPHO,1.75
73,Kaspa,KAS,0.03591546
74,NEXO,NEXO,0.910394
75,Official Trump,TRUMP,3.71
76,Midnight,NIGHT,0.051999
77,Algorand,ALGO,0.095404
78,USDtb,USDTB,0.998756
79,Aptos,APT,0.999856
80,Provenance Blockchain,HASH,0.01392871
81,Janus Henderson Anemoy Treasury Fund,JTRSY,1.097
82,Flare,FLR,0.00873639
83,Filecoin,FIL,0.969822
84,USDD,USDD,0.999954
85,OUSG,OUSG,114.61
86,XDC Network,XDC,0.03459822
87,VeChain,VET,0.00764588
88,Arbitrum,ARB,0.108621
89,Beldex,BDX,0.080247
90,​​Stable,STABLE,0.0283862
91,GHO,GHO,1.0
92,Jupiter,JUP,0.166188
93,Bonk,BONK,6.53e-06
94,YLDS,YLDS,1.0
95,Usual USD,USD0,0.991936
96,Artificial Superintelligence Alliance,FET,0.238359
97,Siren,SIREN,0.732972
98,Virtuals Protocol,VIRTUAL,0.788005
99,TrueUSD,TUSD,0.999646
100,Pudgy Penguins,PENGU,0.00784244
