rank,name,symbol,price
1,Bitcoin,BTC,66290
2,Ethereum,ETH,2020.38
3,Tether,USDT,0.999041
4,BNB,BNB,603.74
5,XRP,XRP,1.31
6,USDC,USDC,0.999617
7,Solana,SOL,81.28
8,TRON,TRX,0.318378
9,Figure Heloc,FIGR_HELOC,1.012
10,Dogecoin,DOGE,0.089804
11,USDS,USDS,0.998995
12,WhiteBIT Coin,WBT,51.05
13,Bitcoin Cash,BCH,465.73
14,LEO Token,LEO,10.03
15,Cardano,ADA,0.24119
16,Hyperliquid,HYPE,35.97
17,Chainlink,LINK,8.56
18,Monero,XMR,327.64
19,Ethena USDe,USDE,0.999008
20,Canton,CC,0.147923
21,Stellar,XLM,0.164929
22,Dai,DAI,0.999839
23,USD1,USD1,1.0
24,Litecoin,LTC,53.43
25,MemeCore,M,2.35
26,PayPal USD,PYUSD,0.99899
27,Zcash,ZEC,231.76
28,Avalanche,AVAX,8.75
29,Rain,RAIN,0.00781093
30,Hedera,HBAR,0.085002
31,Shiba Inu,SHIB,5.85e-06
32,Sui,SUI,0.858194
33,Toncoin,TON,1.22
34,Cronos,CRO,0.069445
35,Bittensor,TAO,305.65
36,World Liberty Financial,WLFI,0.097836
37,Circle USYC,USYC,1.12
38,Tether Gold,XAUT,4545.01
39,PAX Gold,PAXG,4553.7
40,Mantle,MNT,0.68254
41,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
42,Uniswap,UNI,3.47
43,Polkadot,DOT,1.24
44,Global Dollar,USDG,0.999588
45,OKB,OKB,83.06
46,Falcon USD,USDF,0.997405
47,Pi Network,PI,0.17346
48,Sky,SKY,0.074046
49,Aster,ASTER,0.662434
50,HTX DAO,HTX,1.72e-06
51,NEAR Protocol,NEAR,1.17
52,Aave,AAVE,96.05
53,Ripple USD,RLUSD,0.999772
54,Pepe,PEPE,3.3e-06
55,Bitget Token,BGB,1.92
56,BFUSD,BFUSD,0.998596
57,Ondo US Dollar Yield,USDY,1.12
58,Ethereum Classic,ETC,8.04
59,Ondo,ONDO,0.257442
60,Internet Computer,ICP,2.25
61,Siren,SIREN,1.67
62,Janus Henderson Anemoy Treasury Fund,JTRSY,1.099
63,Gate,GT,6.5
64,KuCoin,KCS,7.96
65,Quant,QNT,70.24
66,USDD,USDD,0.998186
67,Pump.fun,PUMP,0.00162706
68,POL (ex-MATIC),POL,0.090113
69,Spiko EU T-Bills Money Market Fund,EUTBL,1.2
70,Worldcoin,WLD,0.273479
71,Kaspa,KAS,0.03178851
72,Render,RENDER,1.67
73,USDtb,USDTB,0.997202
74,NEXO,NEXO,0.866698
75,Cosmos Hub,ATOM,1.68
76,Midnight,NIGHT,0.050715
77,Morpho,MORPHO,1.46
78,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.03
79,Ethena,ENA,0.090468
80,Algorand,ALGO,0.08543
81,Aptos,APT,0.897418
82,Official Trump,TRUMP,2.97
83,Flare,FLR,0.00775092
84,Filecoin,FIL,0.822579
85,OUSG,OUSG,114.76
86,Beldex,BDX,0.080235
87,XDC Network,XDC,0.03057661
88,YLDS,YLDS,0.99982
89,Provenance Blockchain,HASH,0.01044878
90,GHO,GHO,0.999074
91,VeChain,VET,0.00660966
92,Usual USD,USD0,0.999597
93,Arbitrum,ARB,0.091366
94,Jupiter,JUP,0.15248
95,JUST,JST,0.061133
96,Artificial Superintelligence Alliance,FET,0.229151
97,​​Stable,STABLE,0.02372562
98,Bonk,BONK,5.74e-06
99,TrueUSD,TUSD,0.997633
100,A7A5,A7A5,0.01221191
