rank,name,symbol,price
1,Bitcoin,BTC,69638
2,Ethereum,ETH,2022.27
3,Tether,USDT,0.999964
4,BNB,BNB,641.4
5,XRP,XRP,1.38
6,USDC,USDC,0.999909
7,Solana,SOL,85.37
8,TRON,TRX,0.287847
9,Figure Heloc,FIGR_HELOC,1.036
10,Dogecoin,DOGE,0.091916
11,WhiteBIT Coin,WBT,55.12
12,USDS,USDS,0.999934
13,Cardano,ADA,0.257954
14,Bitcoin Cash,BCH,448.94
15,LEO Token,LEO,9.17
16,Hyperliquid,HYPE,34.46
17,Monero,XMR,349.49
18,Chainlink,LINK,8.92
19,Ethena USDe,USDE,0.999915
20,Canton,CC,0.147869
21,Stellar,XLM,0.1562
22,USD1,USD1,0.99934
23,Rain,RAIN,0.00897098
24,Dai,DAI,1.0
25,Litecoin,LTC,53.85
26,Avalanche,AVAX,9.54
27,PayPal USD,PYUSD,0.999855
28,Hedera,HBAR,0.093608
29,Sui,SUI,0.949566
30,Zcash,ZEC,213.48
31,Shiba Inu,SHIB,5.64e-06
32,Toncoin,TON,1.3
33,Cronos,CRO,0.075364
34,Tether Gold,XAUT,5151.5
35,World Liberty Financial,WLFI,0.10093
36,PAX Gold,PAXG,5192.37
37,Polkadot,DOT,1.49
38,MemeCore,M,1.42
39,Uniswap,UNI,3.86
40,Mantle,MNT,0.694937
41,Pi Network,PI,0.22992
42,Circle USYC,USYC,1.12
43,OKB,OKB,95.71
44,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
45,Bittensor,TAO,196.19
46,Falcon USD,USDF,0.997456
47,Sky,SKY,0.074876
48,Global Dollar,USDG,1.0
49,Aster,ASTER,0.693256
50,Aave,AAVE,109.75
51,NEAR Protocol,NEAR,1.27
52,Ripple USD,RLUSD,0.999723
53,Bitget Token,BGB,2.18
54,Internet Computer,ICP,2.67
55,HTX DAO,HTX,1.59e-06
56,Pepe,PEPE,3.27e-06
57,BFUSD,BFUSD,0.9992
58,Ondo US Dollar Yield,USDY,1.12
59,Ethereum Classic,ETC,8.22
60,Ondo,ONDO,0.253289
61,Pump.fun,PUMP,0.00198042
62,Gate,GT,7.01
63,Morpho,MORPHO,1.98
64,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.01
65,KuCoin,KCS,7.92
66,Worldcoin,WLD,0.353279
67,POL (ex-MATIC),POL,0.096624
68,Spiko EU T-Bills Money Market Fund,EUTBL,1.22
69,Quant,QNT,62.85
70,Cosmos Hub,ATOM,1.82
71,NEXO,NEXO,0.893379
72,Ethena,ENA,0.101415
73,Midnight,NIGHT,0.051842
74,USDtb,USDTB,0.999185
75,Kaspa,KAS,0.03000735
76,Provenance Blockchain,HASH,0.01399111
77,Render,RENDER,1.48
78,Flare,FLR,0.00889418
79,Algorand,ALGO,0.085085
80,OUSG,OUSG,114.55
81,USDD,USDD,1.0
82,Janus Henderson Anemoy AAA CLO Fund,JAAA,1.026
83,Aptos,APT,0.943202
84,Official Trump,TRUMP,2.91
85,Filecoin,FIL,0.881956
86,XDC Network,XDC,0.03232323
87,Beldex,BDX,0.079984
88,VeChain,VET,0.00705914
89,YLDS,YLDS,0.999998
90,Arbitrum,ARB,0.099014
91,GHO,GHO,1.0
92,​​Stable,STABLE,0.0275815
93,Jupiter,JUP,0.162713
94,Janus Henderson Anemoy Treasury Fund,JTRSY,1.097
95,Usual USD,USD0,0.997663
96,Bonk,BONK,5.88e-06
97,TrueUSD,TUSD,0.999488
98,Decred,DCR,28.39
99,A7A5,A7A5,0.01238582
100,Kite,KITE,0.264723
