rank,name,symbol,price
1,Bitcoin,BTC,61682
2,Ethereum,ETH,1654.17
3,Tether,USDT,0.999139
4,BNB,BNB,587.17
5,USDC,USDC,0.999574
6,XRP,XRP,1.11
7,Solana,SOL,65.69
8,TRON,TRX,0.325017
9,Figure Heloc,FIGR_HELOC,1.019
10,Hyperliquid,HYPE,61.45
11,Dogecoin,DOGE,0.08364
12,USDS,USDS,0.999518
13,LEO Token,LEO,9.91
14,Rain,RAIN,0.01324471
15,Stellar,XLM,0.188572
16,Monero,XMR,336.29
17,Cardano,ADA,0.161767
18,Canton,CC,0.144776
19,Chainlink,LINK,7.52
20,WhiteBIT Coin,WBT,44.47
21,Zcash,ZEC,299.06
22,USD1,USD1,0.998888
23,Ethena USDe,USDE,0.999178
24,Bitcoin Cash,BCH,221.68
25,Dai,DAI,0.999525
26,Toncoin,TON,1.52
27,MemeCore,M,3.05
28,Hedera,HBAR,0.080427
29,Litecoin,LTC,43.85
30,LAB,LAB,10.78
31,Avalanche,AVAX,7.04
32,PayPal USD,PYUSD,0.999746
33,Sui,SUI,0.706209
34,Circle USYC,USYC,1.13
35,Shiba Inu,SHIB,4.68e-06
36,Tether Gold,XAUT,4439.68
37,Cronos,CRO,0.05838
38,NEAR Protocol,NEAR,2.01
39,Global Dollar,USDG,0.999805
40,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
41,Ondo US Dollar Yield,USDY,1.13
42,PAX Gold,PAXG,4456.54
43,Bittensor,TAO,196.23
44,Worldcoin,WLD,0.528228
45,World Liberty Financial,WLFI,0.055118
46,Mantle,MNT,0.528375
47,Ondo,ONDO,0.348717
48,Aster,ASTER,0.658593
49,Ripple USD,RLUSD,0.999783
50,Polkadot,DOT,0.987716
51,HTX DAO,HTX,1.76e-06
52,Uniswap,UNI,2.5
53,OKB,OKB,72.5
54,Falcon USD,USDF,0.995171
55,USDD,USDD,1.0
56,Sky,SKY,0.059342
57,Internet Computer,ICP,2.38
58,BFUSD,BFUSD,0.9986
59,Pi Network,PI,0.123705
60,Bitget Token,BGB,1.86
61,Pepe,PEPE,2.76e-06
62,Morpho,MORPHO,1.7
63,Humanity,H,0.599928
64,Ethereum Classic,ETC,6.91
65,USDtb,USDTB,0.999331
66,Spiko EU T-Bills Money Market Fund,EUTBL,1.23
67,Aave,AAVE,65.91
68,United Stables,U,0.999898
69,Blockchain Capital,BCAP,107.06
70,Quant,QNT,65.98
71,DeXe,DEXE,20.14
72,Superstate Short Duration U.S. Government Securities Fund (USTB),USTB,11.1
73,Render,RENDER,1.69
74,KuCoin,KCS,6.54
75,Cosmos Hub,ATOM,1.69
76,Janus Henderson Anemoy Treasury Fund,JTRSY,1.11
77,POL (ex-MATIC),POL,0.077856
78,Algorand,ALGO,0.092154
79,​​Stable,STABLE,0.0344237
80,Kaspa,KAS,0.02913286
81,Ethena,ENA,0.084845
82,NEXO,NEXO,0.74649
83,Venice Token,VVV,15.71
84,JUST,JST,0.080005
85,币安人生 (BinanceLife),币安人生,0.67473
86,Gate,GT,6.34
87,Beldex,BDX,0.07995
88,XDC Network,XDC,0.03096177
89,Filecoin,FIL,0.776505
90,Flare,FLR,0.0068507
91,GHO,GHO,0.999403
92,Aptos,APT,0.690505
93,Usual USD,USD0,0.998518
94,Midnight,NIGHT,0.03251094
95,Jupiter,JUP,0.163334
96,YLDS,YLDS,0.999712
97,Pump.fun,PUMP,0.00150624
98,A7A5,A7A5,0.01309165
99,Arbitrum,ARB,0.081335
100,OUSG,OUSG,115.46
