rank,name,symbol,price
1,Bitcoin,BTC,115162
2,Ethereum,ETH,4159.7
3,Tether,USDT,1.0
4,BNB,BNB,1155.95
5,XRP,XRP,2.61
6,Solana,SOL,199.37
7,USDC,USDC,0.999798
8,Lido Staked Ether,STETH,4158.42
9,Dogecoin,DOGE,0.203137
10,TRON,TRX,0.300035
11,Cardano,ADA,0.677352
12,Wrapped stETH,WSTETH,5064.29
13,Wrapped Beacon ETH,WBETH,4490.57
14,Wrapped Bitcoin,WBTC,115056
15,Figure Heloc,FIGR_HELOC,1.0
16,Chainlink,LINK,18.56
17,Hyperliquid,HYPE,46.78
18,Bitcoin Cash,BCH,559.21
19,Wrapped eETH,WEETH,4489.95
20,Stellar,XLM,0.325782
21,Ethena USDe,USDE,0.999187
22,Sui,SUI,2.63
23,USDS,USDS,0.999967
24,WETH,WETH,4159.0
25,Binance Bridged USDT (BNB Smart Chain),BSC-USD,0.999649
26,Avalanche,AVAX,20.53
27,LEO Token,LEO,8.97
28,Coinbase Wrapped BTC,CBBTC,115222
29,Hedera,HBAR,0.17911
30,Litecoin,LTC,99.04
31,USDT0,USDT0,0.999609
32,Monero,XMR,346.69
33,WhiteBIT Coin,WBT,43.42
34,Shiba Inu,SHIB,1.044e-05
35,Zcash,ZEC,354.32
36,Toncoin,TON,2.22
37,Cronos,CRO,0.152098
38,Mantle,MNT,1.68
39,Ethena Staked USDe,SUSDE,1.2
40,Polkadot,DOT,3.16
41,Dai,DAI,0.999957
42,Uniswap,UNI,6.66
43,World Liberty Financial,WLFI,0.145155
44,Bittensor,TAO,400.31
45,Ethena,ENA,0.519255
46,Aave,AAVE,239.46
47,MemeCore,M,2.09
48,OKB,OKB,167.7
49,sUSDS,SUSDS,1.073
50,Bitget Token,BGB,4.79
51,Pepe,PEPE,7.17e-06
52,NEAR Protocol,NEAR,2.36
53,USD1,USD1,1.0
54,Jito Staked SOL,JITOSOL,246.77
55,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0
56,PayPal USD,PYUSD,0.999956
57,Wrapped SOL,SOL,199.48
58,Ethereum Classic,ETC,16.51
59,Aptos,APT,3.49
60,Binance-Peg WETH,WETH,4158.22
61,Ondo,ONDO,0.751804
62,Jupiter Perpetuals Liquidity Provider Token,JLP,5.61
63,Falcon USD,USDF,0.998542
64,Aster,ASTER,1.083
65,Pi Network,PI,0.260406
66,POL (ex-MATIC),POL,0.200057
67,Tether Gold,XAUT,4041.24
68,Worldcoin,WLD,0.925833
69,Arbitrum,ARB,0.337384
70,Rocket Pool ETH,RETH,4767.92
71,USDtb,USDTB,0.999826
72,Gate,GT,15.4
73,Story,IP,5.5
74,KuCoin,KCS,13.67
75,Binance Staked SOL,BNSOL,215.3
76,HTX DAO,HTX,1.88e-06
77,Provenance Blockchain,HASH,0.03455567
78,Internet Computer,ICP,3.2
79,Kinetiq Staked HYPE,KHYPE,46.95
80,Algorand,ALGO,0.187599
81,Kelp DAO Restaked ETH,RSETH,4394.85
82,Pump.fun,PUMP,0.00462901
83,StakeWise Staked ETH,OSETH,4392.11
84,Kaspa,KAS,0.05734
85,Cosmos Hub,ATOM,3.22
86,VeChain,VET,0.01748681
87,Wrapped BNB,WBNB,1154.69
88,Liquid Staked ETH,LSETH,4369.47
89,Sky,SKY,0.059689
90,Pudgy Penguins,PENGU,0.02200426
91,Jupiter,JUP,0.433128
92,Lombard Staked BTC,LBTC,115152
93,PAX Gold,PAXG,4036.88
94,Flare,FLR,0.01736143
95,BFUSD,BFUSD,0.999867
96,Syrup USDC,SYRUPUSDC,1.13
97,Render,RENDER,2.52
98,Renzo Restaked ETH,EZETH,4419.06
99,Sei,SEI,0.203679
100,Official Trump,TRUMP,6.2
